id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1273533,40.69585154,-73.94459877,60,6,4,10,10,2,4,0.05
854253,40.64890062,-73.96872386,60,4,2,10,10,6,6,0.04
2081408,40.66646267,-73.93604663,80,8,8,10,10,6,6,0.03
7785582,40.70068074,-73.91621398,60,8,6,8,8,6,6,0.04
8172653,40.67546805,-73.98591966,80,8,10,10,10,6,10,0.04
4983691,40.72811393,-73.94924845,80,8,6,8,8,6,6,0.04
7002269,40.65887121,-73.94882235,100,8,10,10,10,6,10,0.04
9405124,40.79946741,-73.96399646,60,8,2,4,6,6,6,0.05
19137944,40.66303243,-73.8809805,84,8,8,9,10,6,8,2.46
912376,40.69901296,-73.93966653,89,10,8,10,10,6,8,0.02
2372629,40.83143542,-73.94113441,100,10,10,10,10,6,10,0.03
4068273,40.63483523,-73.95118583,40,10,2,10,10,6,2,0.04
8151605,40.68355319,-73.94129328,80,10,10,10,10,6,10,0.04
7482448,40.68557606,-73.92809948,80,10,10,8,8,6,8,0.04
4738946,40.81615379,-73.95921184,80,10,10,10,10,6,8,0.04
7884731,40.84876625,-73.93515144,80,10,10,6,8,6,8,0.04
8014298,40.66827055,-73.93255309,100,10,10,10,10,6,8,0.04
8302890,40.82872267,-73.94315796,100,10,8,10,10,6,8,0.04
9695491,40.70575591,-73.94408669,80,10,10,10,10,6,10,0.05
4629726,40.70704666,-73.83346307,80,10,10,10,10,6,8,0.05
8955506,40.7256922,-73.95514611,80,10,10,10,10,6,8,0.05
20032903,40.73446017,-73.99290974,60,5,6,7,5,7,7,3
19102380,40.83786454,-73.94441068,60,6,6,9,7,7,4,3
2022308,40.81819873,-73.9553893,90,8,6,8,9,7,8,0.04
3744465,40.80000056,-73.93968494,62,8,6,8,8,7,6,2.27
7708956,40.69174351,-73.94091761,72,8,8,8,8,7,8,2.62
471845,40.68229049,-73.94286642,84,9,7,9,10,7,9,0.05
9207023,40.62401792,-73.97071187,20,2,8,4,6,8,4,0.05
7678730,40.72616669,-73.98496431,80,6,8,10,10,8,8,0.04
6731170,40.80351611,-73.95079048,80,6,6,10,10,8,8,0.04
13671575,40.77393459,-73.93047426,66,7,6,7,8,8,7,2.03
16427691,40.79203164,-73.95013643,68,7,8,7,7,8,7,2.08
830840,40.62907696,-73.95964917,70,8,6,8,6,8,6,0.02
1320749,40.63349528,-73.94956941,91,8,10,10,10,8,8,0.02
3474011,40.70955382,-73.91046441,80,8,10,10,8,8,8,0.03
447766,40.73902991,-73.9797476,80,8,8,8,10,8,10,0.03
4838260,40.71113657,-73.94437569,60,8,8,4,6,8,8,0.04
6576027,40.78368226,-73.94734499,60,8,8,10,10,8,8,0.04
7728222,40.64137568,-73.94814779,80,8,6,10,8,8,8,0.04
8211314,40.7001499,-73.92693045,80,8,8,8,8,8,8,0.04
1466688,40.70901252,-73.95290653,80,8,6,10,10,8,8,0.04
6098975,40.71209263,-73.94142357,80,8,6,10,10,8,8,0.04
5261712,40.72878112,-73.97746699,80,8,8,10,8,8,8,0.04
8663831,40.75818973,-73.93212705,80,8,8,10,8,8,8,0.04
4518046,40.80063994,-73.95688732,80,8,8,8,8,8,8,0.04
787058,40.72858902,-73.98293873,90,8,9,9,10,8,7,0.04
738588,40.59192979,-74.06476426,100,8,10,10,10,8,8,0.04
6759052,40.68674797,-73.94496857,100,8,8,10,10,8,6,0.04
